company,skills
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
tcg digital solutions pvt ltd,"data analytics  ,  functional analysis  ,  predictive analytics  ,  data science  ,  solution design"
Wow Labz,"github  ,  python  ,  data mining  ,  mining  ,  machine learning  ,  sql  ,  forms"
bprise pvt ltd,"hive  ,  algorithms  ,  authoring  ,  data mining  ,  sql  ,  pig  ,  d3.js  ,  security  ,  java  ,  big data  ,  mongodb  ,  hbase  ,  python  ,  machine learning  ,  nosql  ,  cassandra"
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"Maxgen Technologies
     (More Jobs)",.
"HR Jobs Placements
     (More Jobs)","Data Science Analyst  ,  Data Science  ,  test model quality  ,  product development  ,   marketing techniques  ,  customer experiences  ,   revenue generation  ,   ad targeting"
"CANVAS27.com
     (More Jobs)","r  ,  data analysis  ,  logistic regression  ,  sql  ,  data science  ,  python  ,  machine learning  ,  big data  ,  open source  ,  Big Data Analytics  ,  Business Analytics  ,  Business Intelligence"
"CANVAS27.com
     (More Jobs)","r  ,  data analysis  ,  logistic regression  ,  sql  ,  data science  ,  python  ,  machine learning  ,  big data  ,  open source  ,  Big Data Analytics  ,  Business Analytics  ,  Business Intelligence"
Nielsen Research Ltd. Co.,"project leader  ,  project management  ,  Data Science"
Tuebora Software Private Limited,"data analysis  ,  data science  ,  business requirements  ,  data scientist"
Merkle Inc.,"business requirements  ,  dashboards  ,  data science  ,  advanced excel  ,  sassql  ,  analyst  ,  forms"
Merkle Inc.,"business requirements  ,  dashboards  ,  sql  ,  data science  ,  advanced excel  ,  sas  ,  analyst"
cognitio analytics,"R or Python   ,  SQL  ,   ETL  &  BI  ,  Data Science"
Merkle Inc.,"visualization  ,  business requirements  ,  bi  ,  dashboards  ,  data science  ,  sas  ,  tableau  ,  analyst"
Deal4loans,"advanced analytics  ,  sas  ,  business requirements  ,  director  ,  sql  ,  data science"
ICON PLC,"rfps  ,  database  ,  data science  ,  data scientist  ,  advanced analytics  ,  data analysis  ,  oracle  ,  predictive modeling  ,  project analysis"
TransOrg Analytics,"data mining  ,  bi  ,  dashboards  ,  sql  ,  data science  ,  logistic regression  ,  advanced analytics  ,  data analysis  ,  predictive analytics"
Matrimony.com ltd,"data analysis  ,  predictive analytics  ,  spss  ,  sql  ,  factor analysis  ,  data science  ,  business process"
alliance recruitment agency,"anova  ,  spss  ,  text analytics  ,  sql  ,  data science  ,  cluster analysis  ,  logisticregression  ,  advanced analytics  ,  consulting  ,  factor analysis"
MetrixLab,"rfps  ,  spss  ,  ensemble  ,  ds  ,  data science  ,  advanced analytics  ,  sas  ,  pricing models  ,  factor analysis"
Merkle Inc.,"business requirements  ,  bi  ,  dashboards  ,  data science  ,  advanced excel  ,  sassql  ,  tableau  ,  forms"
Merkle Inc.,"business requirements  ,  bi  ,  sas  ,   AWS  /  GCPsql  ,  dashboards  ,  data science  ,  advanced excel  ,  mobile  ,  tableau  ,  analyst"
Merkle Inc.,"business requirements  ,  dashboards  ,  advanced analytics  ,  bi  ,  spss  ,  sql  ,  data science  ,  advanced excel  ,  sas  ,  tableau  ,  project delivery  ,  client interaction"
Citibank India,"business process modeling  ,  business requirements  ,  workflow analysis  ,  data science  ,  use cases  ,  statistical modeling  ,  functional specifications  ,  lead analyst  ,  data analysis  ,  business analysis  ,  business environment  ,  project delivery"
Merkle Inc.,"business requirements  ,  dashboards  ,  advanced analytics  ,  bi  ,  spss  ,  sql  ,  data science  ,  advanced excel  ,  sas  ,  mobile  ,  business analytics  ,  tableau  ,  project delivery  ,  client interaction"
Merkle Inc.,"business requirements  ,  dashboards  ,  advanced analytics  ,  bi  ,  spss  ,  sql  ,  data science  ,  advanced excel  ,  sas  ,  mobile  ,  business analytics  ,  tableau  ,  project delivery  ,  client interaction"
RedLotus,"mathematics  ,  spoken english  ,  science  ,  statistics"
Kpro Solutions,"python  ,  sas  ,  sql  ,  data extraction  ,  hadoop"
APPLYCUP HIRING SOLUTIONS LLP,"metadata  ,  bi  ,  data warehousing  ,  business intelligence  ,  security  ,  data modeling  ,  technology management  ,  etl  ,  information management  ,  business environment  ,  data quality"
Merilytics,"fundamentals  ,  algorithms  ,  big data  ,  python  ,  c  ,  algorithm development  ,  machine learning"
MERITUS INTELYTICS PRIVATE LIMITED,"fundamentals  ,  algorithms  ,  big data  ,  python  ,  c  ,  algorithm development  ,  machine learning"
CareerXperts Consulting,"python  ,  natural language processing  ,  linear programming  ,  machine learning  ,  big data"
MERITUS INTELYTICS PRIVATE LIMITED,"fundamentals  ,  algorithms  ,  python  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data"
Larsen & Toubro Infotech Ltd,"linear regression  ,  ensemble  ,  sql  ,  database  ,  use cases  ,  data scientist  ,  data visualization  ,  logistic regression  ,  data analysis  ,  tableau"
MERITUS INTELYTICS PRIVATE LIMITED,"fundamentals  ,  algorithms  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data"
evertz,"production  ,  engineering support  ,  process data  ,  cutting"
The Smart Cube India Pvt Ltd,"algorithms  ,  telecom  ,  big data  ,  python  ,  machine learning  ,  hdfs"
The Smart Cube India Pvt Ltd,"algorithms  ,  telecom  ,  big data  ,  python  ,  machine learning  ,  hdfs"
Merilytics,"fundamentals  ,  algorithms  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data"
NUWARE SYSTEMS PVT LTD,"python  ,  rdbms  ,  data mining  ,  machine learning  ,  sql  ,  senior software developer  ,  software developer"
alliance recruitment agency,"hive  ,  algorithms  ,  data mining  ,  machine learning  ,  sql  ,  pig  ,  nosql  ,  d3.js  ,  cassandra  ,  mongodb  ,  hbase"
cross-tab marketing services pvt.,"c    ,  spring  ,  java  ,  data structures  ,  python  ,  algorithms  ,  scala  ,  data mining  ,  sql  ,  hadoop  ,  c  ,  problem solving  ,  machine learning  ,  logical thinking  ,  infrastructure"
Merilytics,"fundamentals  ,  algorithms  ,  python  ,  algorithm development  ,  machine learning  ,  hadoop  ,  big data"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"cloud computing  ,  big data  ,  san  ,  python  ,  machine learning"
CAPITAL ONE FINANCIAL SERVICES CLIENT,"scala  ,  sql  ,  big data  ,  san  ,  python  ,  machine learning  ,  infrastructure"
CODEC Networks,"hive  ,  algorithms  ,  data mining  ,  pig  ,  sql  ,  java  ,  apache  ,  hadoop  ,  technical skills  ,  big data  ,  hbase  ,  python  ,  impala  ,  machine learning  ,  mapreduce  ,  consultant"
